Date,Close/Last,Volume,Open,High,Low
02/13/2024,199.30,11269580,197.17,201.56,196.29
02/12/2024,203.06,9718898,204.20,207.12,201.97
02/09/2024,203.85,7642219,201.15,204.1999,199.77
02/08/2024,199.43,8963823,197.57,200.86,196.82
02/07/2024,196.63,7138780,193.70,196.79,192.405
02/06/2024,192.74,8505107,195.85,195.89,190.12
02/05/2024,194.95,8600545,193.54,195.72,191.44
02/02/2024,191.22,7865373,188.22,191.725,187.86
02/01/2024,187.57,6322515,186.73,188.10,185.05
01/31/2024,185.87,10827140,185.73,188.71,184.15
01/30/2024,188.59,6340052,190.11,190.90,187.68
01/29/2024,190.48,8035540,188.72,190.51,187.82
01/26/2024,188.27,9921891,189.16,190.468,187.70
01/25/2024,192.37,11109400,195.80,195.90,191.25
01/24/2024,192.37,14706600,191.21,195.30,190.02
01/23/2024,189.01,6031187,188.02,189.17,186.09
01/22/2024,188.05,8308947,188.81,189.98,186.47
01/19/2024,187.18,12742360,182.39,187.31,181.42
01/18/2024,180.31,11983780,179.67,180.545,177.405
01/17/2024,174.64,6751357,174.48,174.93,171.49
01/16/2024,175.70,7678031,173.29,176.855,172.74
01/12/2024,172.95,4560988,173.75,174.17,172.0617
01/11/2024,173.56,7993737,173.27,174.53,170.19
01/10/2024,172.58,6329968,173.05,173.10,170.63
01/09/2024,172.42,6974268,170.53,173.73,169.93
01/08/2024,171.96,10514820,167.40,172.08,167.28
01/05/2024,166.08,6869797,165.48,167.57,165.10
01/04/2024,164.99,7095771,164.28,166.65,163.97
01/03/2024,165.97,9303597,166.35,167.48,165.37
01/02/2024,168.97,8988980,172.35,172.35,167.61
12/29/2023,174.87,5391625,176.02,176.38,173.67
12/28/2023,175.82,4033519,176.62,176.73,175.71
12/27/2023,175.86,5113420,176.35,176.75,175.195
12/26/2023,175.67,4829214,173.78,176.31,173.78
12/22/2023,173.28,4089165,174.10,174.41,172.41
12/21/2023,173.26,8184454,172.35,173.545,171.52
12/20/2023,169.08,8557352,172.85,173.69,169.01
12/19/2023,173.92,5030981,173.20,174.05,172.91
12/18/2023,173.34,5157326,173.56,173.87,171.97
12/15/2023,174.08,6902023,173.89,175.8599,173.70
12/14/2023,173.26,9446785,171.62,173.86,171.42
12/13/2023,170.12,8037599,168.31,171.10,167.76
12/12/2023,168.14,6985375,165.58,168.20,165.33
12/11/2023,166.38,9671558,163.53,166.99,163.29
12/08/2023,162.48,5683682,160.84,162.94,160.66
12/07/2023,161.10,8790734,158.87,161.44,158.22
12/06/2023,157.50,6457403,160.67,160.97,157.29
12/05/2023,158.78,4845947,157.52,158.95,157.065
12/04/2023,158.78,8136978,159.251,159.50,156.56
12/01/2023,161.13,6115385,160.00,161.72,158.86
11/30/2023,160.48,9300945,162.84,162.84,159.25
11/29/2023,162.21,7642803,162.80,164.33,162.005
11/28/2023,160.73,6165198,160.86,161.50,159.62
11/27/2023,161.66,6034522,161.215,162.89,160.73
11/24/2023,161.76,2943544,162.24,162.45,161.34
11/22/2023,162.12,9141768,163.26,164.93,161.33
11/21/2023,162.47,9001094,163.69,163.975,161.70
11/20/2023,164.90,7136063,162.79,165.44,162.52
11/17/2023,162.57,5168196,161.18,162.96,160.88
11/16/2023,161.81,7281056,160.64,162.17,160.24
11/15/2023,161.21,9002896,162.23,162.23,160.09
11/14/2023,161.09,9744907,159.89,161.54,159.5201
11/13/2023,156.32,7058860,156.30,157.02,155.19
11/10/2023,157.28,11430670,153.25,157.67,152.69
11/09/2023,151.16,10529740,152.96,154.51,151.00
11/08/2023,151.43,6164967,151.37,152.11,150.44
11/07/2023,150.89,4600401,149.66,151.52,149.31
11/06/2023,149.95,5423580,149.75,150.44,148.29
11/03/2023,149.51,8177192,147.59,150.535,147.18
11/02/2023,146.10,11736180,145.62,147.035,144.29
11/01/2023,142.41,11750470,139.20,142.58,139.06
10/31/2023,138.95,7900348,137.96,139.275,136.10
10/30/2023,137.96,8836000,138.41,139.64,136.51
